source,img,eps_chk,lgc_emp,dot12,sq_a,sq_b,mu_sq,sig2
ARES_ConvNeXt_B,0,0.0019607843137254,0.9998894929885864,0.0029036551713943,0.0029042481910437,0.0029043867252767,0.0029021655209362,1.7044346836692092e-11
ARES_ConvNeXt_B,0,0.0039215686274509,0.999558925628662,0.0029026728589087,0.0029083993285894,0.0029019832145422,0.0029021655209362,1.7044346836692092e-11
ARES_ConvNeXt_B,0,0.0078431372549019,0.9982451796531676,0.0029034167528152,0.0029140072874724,0.0029135425575077,0.0029021655209362,1.7044346836692092e-11
ARES_ConvNeXt_B,0,0.0156862745098039,0.9929582476615906,0.0028933321591466,0.0029428568668663,0.0029252001550048,0.0029021655209362,1.7044346836692092e-11
ARES_ConvNeXt_B,0,0.0313725490196078,0.9728323221206664,0.0028169814031571,0.002968223998323,0.002952781273052,0.0029021655209362,1.7044346836692092e-11
ARES_ConvNeXt_B,1,0.0019607843137254,0.9998570680618286,0.0051196655258536,0.0051247202791273,0.005117533262819,0.0051090028136968,4.1250503013401385e-11
ARES_ConvNeXt_B,1,0.0039215686274509,0.9994229674339294,0.0050702625885605,0.0050826161168515,0.0050702416338026,0.0051090028136968,4.1250503013401385e-11
ARES_ConvNeXt_B,1,0.0078431372549019,0.9976135492324828,0.0049738395027816,0.0050174719654023,0.0049777454696595,0.0051090028136968,4.1250503013401385e-11
ARES_ConvNeXt_B,1,0.0156862745098039,0.990479588508606,0.0047602918930351,0.0049342941492795,0.0047726682387292,0.0051090028136968,4.1250503013401385e-11
ARES_ConvNeXt_B,1,0.0313725490196078,0.9612785577774048,0.0039624888449907,0.0042808414436876,0.004282624926418,0.0051090028136968,4.1250503013401385e-11
ARES_ConvNeXt_B,3,0.0019607843137254,0.9999200701713562,0.0489451773464679,0.0489301681518554,0.0489755868911743,0.0488603450357914,2.0787190024851296e-10
ARES_ConvNeXt_B,3,0.0039215686274509,0.999682068824768,0.0488841123878955,0.0489268414676189,0.0489041917026042,0.0488603450357914,2.0787190024851296e-10
ARES_ConvNeXt_B,3,0.0078431372549019,0.9987140893936156,0.0488030724227428,0.0489981509745121,0.0488535836338996,0.0488603450357914,2.0787190024851296e-10
ARES_ConvNeXt_B,3,0.0156862745098039,0.994835078716278,0.0483569465577602,0.0488981194794178,0.048795573413372,0.0488603450357914,2.0787190024851296e-10
ARES_ConvNeXt_B,3,0.0313725490196078,0.979710042476654,0.0463869012892246,0.048612330108881,0.0478637851774692,0.0488603450357914,2.0787190024851296e-10
ARES_ConvNeXt_B,5,0.0019607843137254,0.9998849034309388,0.0003384547890163,0.0003386409953236,0.0003384256560821,0.00033853793866,2.030132355626546e-12
ARES_ConvNeXt_B,5,0.0039215686274509,0.9995514154434204,0.000338640762493,0.0003390153287909,0.0003388772311154,0.00033853793866,2.030132355626546e-12
ARES_ConvNeXt_B,5,0.0078431372549019,0.9981645941734314,0.0003388480690773,0.0003399844863452,0.0003402098082005,0.00033853793866,2.030132355626546e-12
ARES_ConvNeXt_B,5,0.0156862745098039,0.9926947951316832,0.0003363679279573,0.0003415314422454,0.0003408656630199,0.00033853793866,2.030132355626546e-12
ARES_ConvNeXt_B,5,0.0313725490196078,0.9698182344436646,0.000339753285516,0.0003608267870731,0.0003582381468731,0.00033853793866,2.030132355626546e-12
ARES_ConvNeXt_B,6,0.0019607843137254,0.9997491240501404,0.0022862676996737,0.0022845172788947,0.0022902754135429,0.0022925408557057,3.0724187083386305e-11
ARES_ConvNeXt_B,6,0.0039215686274509,0.9990097880363464,0.0022896032314747,0.0022976237814873,0.0022907387465238,0.0022925408557057,3.0724187083386305e-11
ARES_ConvNeXt_B,6,0.0078431372549019,0.9960298538208008,0.0022923753131181,0.0023105277214199,0.0023112732451409,0.0022925408557057,3.0724187083386305e-11
ARES_ConvNeXt_B,6,0.0156862745098039,0.9838825464248656,0.0023269252851605,0.0023953353520482,0.0024086858611553,0.0022925408557057,3.0724187083386305e-11
ARES_ConvNeXt_B,6,0.0313725490196078,0.9344874620437622,0.0025124731473624,0.0028670728206634,0.0027869138866662,0.0022925408557057,3.0724187083386305e-11
ARES_ConvNeXt_B,7,0.0019607843137254,0.999860405921936,0.0012490667868405,0.0012490494409576,0.0012497863499447,0.0012503019534051,9.347959906147452e-12
ARES_ConvNeXt_B,7,0.0039215686274509,0.9994401335716248,0.0012508016079664,0.0012516444548964,0.0012527498183771,0.0012503019534051,9.347959906147452e-12
