source,mode,n_img,c,c_raw,cos_lin,g_r,kappa_eff,a,b,rho,gcr,crossover,tau_star,V_over_m,norm_ratio,bias_disp,res_draw,res_mean
ARES_ConvNeXt_B,di09,379,0.6828012161035494,0.6827515866951451,0.5362338991663701,0.6282251419082934,11.389660769057778,1.0221878927877632,0.03981363835034738,815.3135293288059,0.9987749804896383,yes,0.43405439468314516,0.0017571338712312665,0.7922557238245379,0.7116829897368101,1.1217389863549725,2.3109565746870127
ARES_ConvNeXt_B,full_di,379,0.5821914246065006,0.5821250558567865,0.5032599681096352,0.7522032402667324,10.368293002466954,1.0168824775261076,0.0193860144942205,815.3135293288059,0.9987749804896383,yes,0.32036288070618524,0.0015995629010285225,0.8669126274375447,0.8844766392068807,1.0723408103006675,2.56518725502954
ARES_ConvNeXt_B,resize,379,0.7996721743436476,0.7996458798096489,0.8842157750614086,0.8330053930470428,5.439362447980083,1.0079821468270909,0.021852299548068128,815.3135293288059,0.9987749804896383,yes,0.6263103064729306,0.0008391547552684392,0.9122873135881757,0.7080093008931366,0.6328901978948602,0.7474226037966732
ARES_ConvNeXt_B,translation,379,0.6947765292938907,0.6947567798688733,0.08362664409457286,0.697933912551355,20.42398008364423,1.0357916274818533,0.08208903042668313,815.3135293288059,0.9987749804896383,yes,0.42007371739159255,0.0031508986894341826,0.8350546131268892,0.6733493988381744,1.320454796977374,3.5668822940272884
ConvNeXt_B_ImageNet,di09,422,0.5094287868642129,0.5131578890703866,0.3031395123499088,0.44445057848178765,0.22875490647757662,1.0897485687826602,0.09722323560959782,4.651530448566959,0.82305677920331,yes,0.1635166860250278,1.0737787492335467,0.6014350426241748,0.8995500192659038,1.1350163573410936,3.3124034822232855
ConvNeXt_B_ImageNet,full_di,422,0.3319416870296849,0.32927783794030197,0.21566908099463483,0.44476863066728084,0.20249602737529887,1.0815271775493667,0.07605782005993986,4.651530448566959,0.82305677920331,yes,0.03394182356127378,0.950519201305631,0.601650199864937,0.9963102430223139,1.0961528747643399,3.7088090830640486
ConvNeXt_B_ImageNet,resize,422,0.5963571099564433,0.6155902839627699,0.6872508561865414,0.9591708642353987,0.10626666033707322,1.0144276787574091,0.04367933836653395,4.651530448566959,0.82305677920331,yes,0.32136286125758884,0.49881719862980856,0.8835374854703786,0.9290704702167646,0.8536458805869871,1.2328732799623388
ConvNeXt_B_ImageNet,translation,422,0.48330633343148854,0.48151045160200356,0.0032666008467747308,0.6499932340081287,0.35852841429537957,1.0958725593703456,0.10563378834486394,4.651530448566959,0.82305677920331,yes,0.1292124963533999,1.682937420642895,0.7273298452163558,0.8994033041914595,1.2282622344523377,3.597494061157958
DenseNet121_Standard,di09,370,0.439314570982714,0.40717806207972607,0.26523148485937637,0.5036997141461459,0.13128257496260212,1.087414270478477,0.11262185133982586,1.6932559870442672,0.6287022084753788,yes,0.0824539044004074,3.1227744322946,0.5672044054958785,0.9441336004599368,1.1651332462263466,2.399786705113268
DenseNet121_Standard,full_di,370,0.3482649860349861,0.311767845218246,0.21722806492266622,0.5609211307159823,0.1252545563378053,1.084530660693149,0.08016949987781541,1.6932559870442672,0.6287022084753788,yes,0.04094045272196063,2.979387981775378,0.5985558001590873,1.0174308513233632,1.143622201716294,2.6459207567597964
