source,eps_chk,lgc_emp,lgc2,gcr,consistency_check,gap_eq1_vs_lgc2,lgc_emp_sq,rho
ARES_ConvNeXt_B,0.0019607843137254,0.9998592817688995,0.999689572450893,0.9987749804896383,0.0009145919612546516,0.0001697093180065279,0.9997185833394195,815.3135293288059
ARES_ConvNeXt_B,0.0039215686274509,0.9994406138686832,0.9987796611859219,0.9987749804896383,4.680696283565489e-06,0.0006609526827613399,0.9988815406502103,815.3135293288059
ARES_ConvNeXt_B,0.0078431372549019,0.9977714721319858,0.9951399765024379,0.9987749804896383,-0.0036350039872004025,0.0026314956295478975,0.9955479106004301,815.3135293288059
ARES_ConvNeXt_B,0.0156862745098039,0.9910790369818896,0.9811905335910028,0.9987749804896383,-0.017584446898635475,0.00988850339088676,0.9822376575449496,815.3135293288059
ARES_ConvNeXt_B,0.0313725490196078,0.9642962800795924,0.9337674039605021,0.9987749804896383,-0.06500757652913625,0.030528876119090387,0.9298673157753398,815.3135293288059
ConvNeXt_B_ImageNet,0.0019607843137254,0.9593097806259354,0.9357099462546175,0.82305677920331,0.11265316705130746,0.023599834371317963,0.9202752552045803,4.651530448566958
ConvNeXt_B_ImageNet,0.0039215686274509,0.872705392574812,0.8230113354172172,0.82305677920331,-4.5443786092835836e-05,0.049694057157594784,0.7616147022291566,4.651530448566958
ConvNeXt_B_ImageNet,0.0078431372549019,0.7146790320786396,0.6335163683925829,0.82305677920331,-0.18954041081072714,0.08116266368605674,0.5107661188928612,4.651530448566958
ConvNeXt_B_ImageNet,0.0156862745098039,0.5173723171619584,0.4580680475418301,0.82305677920331,-0.3649887316614799,0.0593042696201283,0.2676741145655341,4.651530448566958
ConvNeXt_B_ImageNet,0.0313725490196078,0.31623714803872516,0.329223157188437,0.82305677920331,-0.493833622014873,-0.012986009149711819,0.10000593379966657,4.651530448566958
DenseNet121_Standard,0.0019607843137254,0.8541052245610469,0.7755101377583272,0.6287022084753788,0.1468079292829484,0.07859508680271965,0.7294957346224763,1.6932559870442672
DenseNet121_Standard,0.0039215686274509,0.7536944480361165,0.6321082477870812,0.6287022084753788,0.003406039311702358,0.12158620024903533,0.5680553210004663,1.6932559870442672
DenseNet121_Standard,0.0078431372549019,0.6114692989233378,0.45851142865832256,0.6287022084753788,-0.17019077981705627,0.15295787026501523,0.37389470352579823,1.6932559870442672
DenseNet121_Standard,0.0156862745098039,0.4407856316582577,0.2891590188069013,0.6287022084753788,-0.3395431896684775,0.15162661285135637,0.19429197307636922,1.6932559870442672
DenseNet121_Standard,0.0313725490196078,0.26816057797420667,0.17256380364765106,0.6287022084753788,-0.4561384048277278,0.09559677432655561,0.07191009557946057,1.6932559870442672
Engstrom2019Robustness_ImageNet,0.0019607843137254,0.9902014983617342,0.9863465936074703,0.9738924835352143,0.012454110072256053,0.003854904754263866,0.9804990073578235,37.30314543127135
