source,mode,img,c_mu,c_raw,cos_lin,V,Vn,sig2,mu_sq,mu_sq_raw,sq_gbar,sq_gclean,sq_gbar_lin,msq_draw,msq_diff_lin,sq_diff_mean_lin,sq_diff_clean
ARES_ConvNeXt_B,di09,0,0.714514970779419,0.714277982711792,0.5593036413192749,0.0007455990416929,4.922098923998419e-07,1.7044346836692092e-11,0.0029021655209362,0.0029024221003055,0.0013473068829625,0.0029036705382168,0.0002969158813357,0.0020556261297315,0.0024867828469723,0.0009367209859192,0.0014254194684326
ARES_ConvNeXt_B,di09,1,0.5585174560546875,0.5579487681388855,0.310632973909378,0.0026764124631881,6.905186182848411e-06,4.1250503013401385e-11,0.0051090028136968,0.0051096235401928,0.0049361800774931,0.0051152212545275,0.0002116730320267,0.0074787721969187,0.009305746294558,0.0045128059573471,0.0044441241770982
ARES_ConvNeXt_B,di09,3,0.6709437370300293,0.6708661913871765,0.4875115156173706,0.0135590843856334,1.09194570541149e-05,2.0787190024851296e-10,0.0488603450357914,0.0488634742796421,0.0228742714971303,0.048904575407505,0.0031704842112958,0.0357554033398628,0.0467015504837036,0.0177414454519748,0.0269028358161449
ARES_ConvNeXt_B,di09,5,0.6737725734710693,0.6738848686218262,0.4907015264034271,7.569931767648086e-05,7.734900009381819e-08,2.030132355626546e-12,0.00033853793866,0.0003385684976819,0.0001331564999418,0.0003384473675396,3.3476328098913655e-05,0.0002050708571914,0.0003064549237024,0.0001011092608678,0.0001854876754805
ARES_ConvNeXt_B,di09,6,0.6450787782669067,0.645572304725647,0.5854479670524597,0.0003827651089522,8.440707688350813e-07,3.0724187083386305e-11,0.0022925408557057,0.002293003257364,0.0006132438429631,0.0022857086732983,0.0002631528768688,0.0009768706513568,0.0015635349554941,0.0004060273931827,0.0013703241711482
ARES_ConvNeXt_B,di09,7,0.6993003487586975,0.6992055177688599,0.5167940258979797,0.0002700980694498,2.386802862019977e-07,9.347959906147452e-12,0.0012503019534051,0.0012504426995292,0.0004438033793121,0.0012493965914472,0.000104469640064,0.0007003965438343,0.0010776858543977,0.0003257177886553,0.0006518894224427
ARES_ConvNeXt_B,di09,8,0.6763354539871216,0.6762903928756714,0.5766085386276245,0.0013864883221685,7.930345304885122e-07,1.8322270783910355e-11,0.0030375455971807,0.0030378215014934,0.0023576449602842,0.003032358828932,0.0002917561796493,0.0036748088896274,0.0042664255015552,0.0016929556149989,0.0017734689172357
ARES_ConvNeXt_B,di09,10,0.6701681017875671,0.670120120048523,0.6002116799354553,0.2286444157361984,0.000355557189323,7.3359442964715535e-09,1.442193627357483,1.442304015159607,0.4103570878505707,1.4418001174926758,0.1325079649686813,0.627569317817688,0.9918766021728516,0.2629435062408447,0.8212581276893616
ARES_ConvNeXt_B,di09,11,0.4795405864715576,0.4793347120285034,0.3474637866020202,0.000622815277893,1.536261180490328e-07,7.358147294592167e-13,0.0002580731816124,0.0002580842701718,0.0003839857527054,0.000258453132119,1.8867769540520385e-05,0.0009756602230481,0.0010160350939258,0.0003437031700741,0.0003404317249078
ARES_ConvNeXt_B,di09,12,0.7102582454681396,0.710320770740509,0.6055307388305664,0.0114604020491242,1.472041549277492e-05,3.5380420815300795e-10,0.0485078394412994,0.0485131666064262,0.0301177501678466,0.0485089272260665,0.0035285039339214,0.0410051308572292,0.0466290153563022,0.0211617052555084,0.0243258327245712
ARES_ConvNeXt_B,di09,13,0.6650464534759521,0.6648523807525635,0.582228422164917,4.657400131691247e-05,3.532282732976455e-08,8.286895475384526e-13,0.0001640384434722,0.0001640509144635,7.506980909965932e-05,0.0001640694536035,1.8605420336825773e-05,0.0001193151110783,0.0001431278797099,5.015654824092053e-05,9.15680211619474e-05
ARES_ConvNeXt_B,di09,14,0.7583210468292236,0.7583874464035034,0.6519268751144409,0.0003132854471914,2.427722449738212e-07,3.837314580673601e-12,0.0008718470344319,0.0008719047764316,0.0008453959599137,0.0008713960996828,0.0001113724647439,0.0011430172016844,0.0011903316481038,0.0005566874169744,0.0004149479791522
ARES_ConvNeXt_B,di09,15,0.7730980515480042,0.7729969024658203,0.6699190735816956,0.1541297882795334,0.0001157283913926,2.134055820945946e-09,0.4548121690750122,0.4548442959785461,0.4296631813049316,0.4545125067234039,0.0712973922491073,0.5760864615440369,0.5769438147544861,0.2664549946784973,0.2009805738925933
ARES_ConvNeXt_B,di09,16,0.7297601699829102,0.7298470735549927,0.710583508014679,0.0002540715504437,2.569616981418221e-07,2.375347314675924e-12,0.0005516222445294,0.0005516579840332,0.0005034389905631,0.0005514129297807,7.844714127713814e-05,0.0007448070100508,0.00072971615009,0.000299458624795,0.0002857680083252
ARES_ConvNeXt_B,di09,17,0.7376104593276978,0.7373770475387573,0.6185232400894165,0.9136475324630736,0.0036470752675086,1.8112311650497762e-08,1.6718608140945437,1.672133445739746,1.3187662363052368,1.6817699670791626,0.1211961656808853,2.186731338500977,2.3087918758392334,0.945407509803772,0.8042603731155396
ARES_ConvNeXt_B,di09,18,0.7076959609985352,0.7077609300613403,0.6131992936134338,0.0002418246440356,2.174373037178157e-07,1.9142602000060682e-12,0.0002550683566369,0.000255097169429,0.0001896615431178,0.0002547483309172,3.338778333272785e-05,0.0004193949571345,0.000438086426584,0.000125457154354,0.0001332655810983
ARES_ConvNeXt_B,di09,21,0.7722488045692444,0.7721766233444214,0.6687957644462585,0.0002144637110177,1.6879927500212946e-07,6.5988755258705725e-12,0.0010171551257371,0.0010172544280067,0.0003007133782375,0.0010179048404097,0.0001064609386958,0.0005044538993388,0.0007300517754629,0.0001678455155342,0.0004641879932023
ARES_ConvNeXt_B,di09,22,0.5488048791885376,0.5488697290420532,0.5043952465057373,0.0012867779005318,4.096506245332421e-07,1.704457430230788e-12,0.0003183070803061,0.0003183327498845,0.0003515384159982,0.0003179963969159,3.6517903936328366e-05,0.0015739774098619,0.001622792915441,0.0002737578761298,0.000302508851746
ARES_ConvNeXt_B,di09,23,0.738102376461029,0.7381325960159302,0.6469321250915527,6.060869782231748e-05,5.742601771885347e-08,1.0857071535211316e-12,0.0002437276561977,0.0002437439979985,9.14645061129704e-05,0.0002436238428344,2.1294710677466355e-05,0.0001490427675889,0.0002020858082687,5.565727042267099e-05,0.000114719303383
ARES_ConvNeXt_B,di09,24,0.7536177635192871,0.753157377243042,0.7521882057189941,0.0010843187337741,9.135608706856146e-06,6.427038762302216e-11,0.0055387220345437,0.0055396896786987,0.0029191169887781,0.0055245943367481,0.0005379486246965,0.0039492198266088,0.0042962129227817,0.001571886241436,0.0023945977445691
ARES_ConvNeXt_B,di09,25,0.6464939713478088,0.6463280916213989,0.5365610718727112,0.0001572923210915,8.870817396200437e-07,6.019377270932713e-12,0.0006029323558323,0.0006030229851603,0.0002474866050761,0.0006036610575392,5.731894634664059e-05,0.0003969143144786,0.0005135288811288,0.000176992805791,0.0003515095741022
