source,source_label,eps_train,eps_train_x255,lgc_mean,lgc_std,lgc_sem,lgc_median,lgc_full_mean,lgc_full_median,n_kept,n_total,kept_ratio,cgdi_decision,flag_decision,K,sigma,mifgsm,difgsm,delta_di_minus_mi
ResNet50,"Standard (eps=0, RN50)",0.0,0.0,0.6500673497667407,0.13944070465124034,0.006937434347853558,0.6746160089969635,0.6545547690987586,0.680298775434494,404,500,0.808,p=0.8 (apply DI),p=0.8 (apply DI),5,0.00392,0.412,0.542,0.13
Salman_eps0.5,"Salman (eps=0.5/255, RN50)",0.00196078431372549,0.5,0.9903308117422162,0.0020240819347812156,0.00010565621695747376,0.990628182888031,0.9903187367916108,0.9906147122383118,367,500,0.734,p=0 (skip DI),p=0 (skip DI),5,0.00392,0.884,0.8286666666666668,-0.0553333333333332
Salman_eps1.0,"Salman (eps=1/255, RN50)",0.00392156862745098,1.0,0.9891875030243233,0.005559233422975386,0.0002909835764848397,0.9902596473693848,0.9888657382726669,0.9900533556938171,365,500,0.73,p=0 (skip DI),p=0 (skip DI),5,0.00392,0.86,0.7906666666666666,-0.0693333333333333
Salman_eps2.0,"Salman (eps=2/255, RN50)",0.00784313725490196,2.0,0.9858742259210636,0.026700720604701123,0.001421135962669236,0.9888370633125305,0.985897333920002,0.9885711669921875,353,500,0.706,p=0 (skip DI),p=0 (skip DI),5,0.00392,0.784,0.6586666666666666,-0.1253333333333334
Salman_eps4.0,"Salman (eps=4/255, RN50)",0.01568627450980392,4.0,0.9846439161700403,0.00944044387782169,0.0005165581063891557,0.9868260025978088,0.984229105591774,0.9866460561752319,334,500,0.668,p=0 (skip DI),p=0 (skip DI),5,0.00392,0.622,0.5126666666666667,-0.1093333333333332
Engstrom2019Robustness_ImageNet,"Engstrom (eps=4/255, RN50)",0.01568627450980392,4.0,0.9813709585483258,0.013372598945243855,0.0007417783258968059,0.9842100143432617,0.9810499249696731,0.9837044179439545,325,500,0.65,p=0 (skip DI),p=0 (skip DI),5,0.00392,,,
Mo2022When_ViT-B,"Mo2022 (eps=8/255, ViT-B)",0.03137254901960784,8.0,0.9999279582500458,2.9769064342183334e-05,1.5912234213325573e-06,0.999932050704956,0.9999264396429062,0.9999316334724426,350,500,0.7,p=0 (skip DI),p=0 (skip DI),5,0.00392,,,
Salman_eps8.0,"Salman (eps=8/255, RN50)",0.03137254901960784,8.0,0.8031595610403295,0.2572962048507764,0.015108953389277303,0.9310329854488373,0.7900796284824609,0.9223437905311584,290,500,0.58,p=0.8 (apply DI),p=0 (skip DI),5,0.00392,0.4439999999999999,0.3779999999999999,-0.066
